Condition,Date,Id,View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
Average,20150427T000000,6127010890,No View,No,2005,98075,2.5,4,2,7,47.5927,-122.006,663000,3570,6246
Average,20141112T000000,3630130130,No View,No,2006,98029,2.5,3,2,9,47.5481,-121.995,663000,1910,5125
Very Good,20140626T000000,7518504130,No View,No,1928,98117,2,3,1,7,47.6808,-122.382,663000,1480,3876
Very Good,20140523T000000,6372000060,No View,No,1926,98116,1.75,3,1.5,7,47.5797,-122.405,662990,1240,3600
Average,20150402T000000,5583200810,No View,No,1910,98118,1.5,2,2,7,47.5568,-122.271,662700,2440,6900
Average,20140911T000000,4037200075,Average,No,1957,98008,2.25,6,1,7,47.6061,-122.117,662500,2450,25600
Average,20150403T000000,1736800520,No View,No,1965,98007,2.5,3,1,8,47.6007,-122.145,662500,3560,9796
Good,20150130T000000,510000641,No View,No,1906,98103,2,3,1.5,7,47.6624,-122.333,662500,2070,4200
Average,20141008T000000,339500160,No View,No,1984,98052,1.75,3,1,9,47.6917,-122.084,662000,2500,36947
Good,20140627T000000,5490210320,No View,No,1977,98052,2.5,5,1,7,47.6964,-122.12,661500,2500,7200
Very Good,20140523T000000,6087100070,No View,No,1940,98116,4,4,1.5,7,47.5824,-122.384,661254,2290,6250
Good,20140822T000000,3401700031,No View,No,1964,98072,1.5,2,2,8,47.7397,-122.126,661000,1750,46173
Very Good,20150213T000000,1036400200,No View,No,1973,98052,1.75,4,1,8,47.6315,-122.101,661000,1670,13125
Average,20141210T000000,7202470100,No View,No,1991,98052,2.5,3,2,8,47.6786,-122.151,661000,1940,8196
Average,20140619T000000,1471590060,No View,No,1998,98052,2.5,4,2,9,47.6791,-122.149,661000,2496,8058
Good,20140815T000000,3271301175,No View,No,1939,98199,1,2,1,7,47.6501,-122.409,661000,1260,5800
Good,20140602T000000,952004875,Average,No,1932,98126,2.25,4,1.5,8,47.5638,-122.38,661000,1990,4600
Good,20140821T000000,3764500230,No View,No,1994,98033,2,3,2,8,47.6947,-122.19,661000,1820,4418
Average,20141223T000000,9268850940,No View,No,2011,98027,3.25,4,2,8,47.5402,-122.028,661000,2600,2074
Average,20150428T000000,9545240070,No View,No,1986,98027,2.25,4,1,8,47.5343,-122.054,660500,2010,9603
Very Good,20140702T000000,5700000600,No View,No,1918,98144,2.5,5,1.5,7,47.5785,-122.293,660500,2950,5500
Average,20150424T000000,2723069146,No View,No,2000,98038,2.5,4,2,9,47.4475,-122.034,660000,3170,186436
Average,20140531T000000,424069233,No View,No,1984,98075,2.25,3,2,8,47.5916,-122.055,660000,2675,40910
Good,20150325T000000,4046710180,No View,No,1996,98014,3.5,3,2,8,47.6982,-121.917,660000,3600,37982
Average,20150401T000000,6446200060,No View,No,1987,98029,2.5,3,1,9,47.5516,-122.03,660000,2590,35640
Average,20140701T000000,2481600030,No View,No,1983,98052,2,3,1,9,47.7318,-122.138,660000,2570,28500
Average,20140805T000000,4298100240,No View,No,1993,98077,2.5,3,2,9,47.7637,-122.05,660000,2680,28243
Average,20150407T000000,4178600040,No View,No,1991,98011,2.5,3,2,9,47.7446,-122.193,660000,2390,15669
Good,20150211T000000,9541600015,No View,No,1957,98005,2.25,4,1,8,47.5956,-122.174,660000,2010,15375
Good,20150413T000000,3575305495,No View,No,1979,98074,2.25,5,1.5,9,47.6234,-122.059,660000,3740,14913
Average,20150421T000000,7504020970,No View,No,1978,98074,2.25,4,2,9,47.6316,-122.05,660000,3180,13653
Good,20150318T000000,1235700073,No View,No,1990,98033,2.25,3,1,7,47.6965,-122.197,660000,1700,12615
Average,20150212T000000,7504010760,No View,No,1976,98074,3,3,2,9,47.641,-122.057,660000,2470,11900
Average,20140909T000000,326049060,No View,No,2005,98155,2.5,3,2,9,47.7644,-122.29,660000,2650,11250
Average,20150401T000000,5160300030,No View,No,1978,98005,1.75,4,1,8,47.5938,-122.154,660000,1870,10450
Average,20140512T000000,1562000120,No View,No,1964,98007,2.5,4,1,8,47.6208,-122.141,660000,2550,10000
Good,20140601T000000,7504030090,No View,No,1978,98074,1.75,4,2,10,47.6348,-122.06,660000,2780,9900
Average,20140626T000000,6073200010,Fair,No,1955,98006,1,3,1,8,47.5728,-122.179,660000,1210,9622
Very Good,20140620T000000,3904940200,No View,No,1988,98029,3.25,4,2,8,47.5747,-122.014,660000,3030,9273
Good,20141107T000000,9346960050,No View,No,1977,98006,2.5,4,2,8,47.5613,-122.128,660000,2290,9120
Good,20141205T000000,7922900460,Average,No,1963,98008,1.75,3,2,7,47.586,-122.117,660000,2030,9032
Average,20150324T000000,9367200205,No View,No,1954,98033,1,2,1,7,47.6627,-122.192,660000,1670,8195
Very Good,20150213T000000,7640400190,No View,No,1952,98177,2,3,1,8,47.7232,-122.371,660000,1770,8141
Average,20150102T000000,7278700070,Average,No,1964,98177,2.5,3,1,8,47.7728,-122.386,660000,2400,6474
Good,20141204T000000,4151800375,Fair,No,1942,98033,1,2,1,6,47.6646,-122.202,660000,960,6263
Average,20141104T000000,2719100355,Average,No,1984,98136,2.25,3,2,8,47.5423,-122.385,660000,2280,6150
Very Good,20140624T000000,3359500110,No View,No,1902,98115,2.25,2,2,7,47.6739,-122.323,660000,2550,6000
Average,20150413T000000,809002675,No View,No,1909,98109,2,3,1,7,47.637,-122.355,660000,1140,6000
Very Good,20141126T000000,9276202160,No View,No,1926,98116,2,3,1,7,47.5791,-122.392,660000,2080,5750
Very Good,20140508T000000,9274202885,No View,No,1918,98116,1.75,3,1.5,7,47.5848,-122.391,660000,1320,5750
Good,20141001T000000,579002600,Fair,No,1956,98117,1.75,3,1,8,47.6995,-122.383,660000,1750,5200
Average,20140513T000000,7853400260,No View,No,2012,98065,3.5,4,2,9,47.5169,-121.884,660000,3400,5196
Average,20141121T000000,726059483,No View,No,2014,98011,3.5,5,2,9,47.755,-122.216,660000,3160,5175
Good,20140826T000000,7518506595,No View,No,1926,98117,2,3,1.5,7,47.6805,-122.385,660000,2880,5100
Average,20150313T000000,4083801785,No View,No,1924,98103,1,2,1,7,47.6631,-122.337,660000,1070,5000
Average,20140709T000000,7691800020,No View,No,2002,98075,2.5,4,2,8,47.5962,-122.039,660000,2510,4543
Average,20141201T000000,2877104316,Average,No,1922,98117,1.5,4,1.5,7,47.6797,-122.359,660000,1960,4500
Average,20140522T000000,7203110240,No View,No,2010,98053,2.5,3,2,8,47.6942,-122.016,660000,2450,4332
Average,20140625T000000,7203100550,No View,No,2008,98053,2.75,3,2,8,47.6954,-122.017,660000,2210,4000
Average,20150326T000000,3630120190,No View,No,2006,98029,2.5,3,2,9,47.5542,-122.001,660000,2330,3995
Average,20150312T000000,1036450170,No View,No,2001,98034,3.5,3,2,9,47.7195,-122.182,660000,2740,3785
Good,20140729T000000,1868901295,No View,No,1925,98115,2.25,5,1.5,7,47.6729,-122.299,660000,2540,3750
Good,20140709T000000,3797002585,No View,No,1927,98103,1,3,1,7,47.6835,-122.347,660000,1240,3500
Good,20140606T000000,1868901120,No View,No,1926,98115,1.75,3,1.5,7,47.6733,-122.298,660000,1980,3300
Very Good,20140612T000000,3797000290,No View,No,1925,98103,3,3,2,8,47.6868,-122.348,660000,2340,2970
Average,20140623T000000,510003085,No View,No,1987,98103,3.25,3,3,7,47.6597,-122.331,660000,1980,2850
Good,20140603T000000,1952200220,No View,No,1953,98102,2.5,3,3,9,47.641,-122.315,660000,2290,2798
Average,20140616T000000,7942602080,No View,No,1900,98122,1.75,6,1,7,47.6041,-122.31,660000,1840,2774
Average,20141211T000000,1710400007,No View,No,1999,98122,2,3,3,8,47.6102,-122.314,660000,1770,2150
Average,20140825T000000,7234601544,No View,No,2002,98122,3,3,2,8,47.6108,-122.308,660000,2260,1825
Average,20150414T000000,8129700728,No View,No,2008,98103,2.5,3,2,8,47.6594,-122.355,660000,1780,1729
Average,20141103T000000,5695000270,No View,No,2014,98103,2.25,3,3,8,47.6585,-122.348,660000,1570,1680
Average,20141121T000000,5631500285,No View,No,2006,98028,2.5,3,2,10,47.7341,-122.234,659950,2990,9413
Average,20140716T000000,7502800030,No View,No,2014,98059,2.75,4,2,9,47.4827,-122.131,659950,3550,9400
Average,20140709T000000,7502800050,No View,No,2014,98059,2.75,4,2,9,47.4827,-122.131,659950,3510,9400
Average,20141212T000000,3034200087,No View,No,2008,98133,3,5,2,9,47.7226,-122.33,659950,3010,7357
Average,20141029T000000,2770604079,Fair,No,2014,98119,2.5,3,2,9,47.6423,-122.375,659950,1610,1246
Good,20140619T000000,4035900015,No View,No,1956,98006,3,4,1,8,47.5646,-122.184,659500,2620,18362
Good,20140610T000000,7974700122,No View,No,1957,98115,1.75,3,1,8,47.6737,-122.283,659500,1820,5500
Average,20141112T000000,2826079027,No View,No,2007,98019,2.5,3,2,8,47.7072,-121.927,659000,3090,384634
Average,20150319T000000,7300200550,No View,No,1983,98075,2.25,4,2,8,47.5771,-122.05,659000,2610,24931
Average,20141119T000000,1630700135,No View,No,1938,98072,2,4,2,8,47.7553,-122.092,659000,1980,23625
Very Good,20140530T000000,2568300266,No View,No,1946,98125,2.5,4,1,8,47.704,-122.3,659000,3190,11375
Good,20140702T000000,5021900265,No View,No,1951,98040,2,4,1,7,47.5759,-122.223,659000,2090,10800
Average,20141208T000000,924059233,No View,No,1977,98005,2,4,2,8,47.583,-122.17,659000,2350,9329
Average,20140610T000000,305000170,No View,No,1996,98075,2.5,3,2,9,47.5868,-122.033,659000,2510,6320
Average,20140905T000000,1189000025,No View,No,1907,98122,1.5,3,2,8,47.6138,-122.299,659000,1540,5040
Average,20150422T000000,2768100512,No View,No,2015,98107,2.5,2,2,9,47.6692,-122.372,659000,1450,1213
Average,20141229T000000,2902201300,No View,No,2014,98102,1.75,2,2,10,47.6396,-122.329,659000,1180,904
Good,20150504T000000,7518500855,No View,No,1945,98117,2,4,1.5,7,47.6826,-122.378,658600,1400,4690
Average,20140604T000000,7880000060,No View,No,1986,98027,2.25,3,2,10,47.4871,-122.065,658588,2560,41346
Average,20140726T000000,2402100715,No View,No,1927,98103,1,2,1.5,8,47.6872,-122.333,658500,1410,5101
Average,20150504T000000,6681500205,No View,No,1963,98199,2.25,4,1,7,47.6456,-122.387,658500,1900,5000
Average,20140717T000000,3905090130,No View,No,1992,98029,2.5,4,2,9,47.5714,-121.991,658100,2430,8509
Poor- Worn out,20150114T000000,7936500221,Excellent,Yes,1926,98136,1,2,1,5,47.5476,-122.399,658000,1010,14244
Good,20150408T000000,1245003375,No View,No,1966,98033,1,3,1,7,47.6835,-122.199,658000,1290,12005
Average,20140529T000000,7853310590,No View,No,2008,98065,2.75,4,2,9,47.521,-121.877,658000,3310,6166
Average,20150115T000000,809002390,No View,No,1919,98109,1.5,3,1.5,7,47.6368,-122.351,658000,1660,3190
Average,20140611T000000,2025760210,No View,No,2002,98092,2.75,4,2,11,47.3062,-122.15,657500,4140,24190
Average,20140710T000000,7971300050,No View,No,1956,98005,2,3,1,7,47.6157,-122.174,657500,2320,10960
Average,20140522T000000,1939120450,No View,No,1989,98074,2.5,3,2,9,47.6272,-122.026,657500,2670,10496
Average,20150122T000000,7504060020,No View,No,1980,98074,2.25,4,2,9,47.6377,-122.049,657500,2520,10370
Good,20150420T000000,4444800045,Good,No,1947,98117,1.75,4,1,7,47.6981,-122.4,657500,1620,7560
Good,20140815T000000,4151800420,No View,No,1942,98033,1.75,3,1,6,47.6643,-122.203,657500,980,6002
Average,20140918T000000,9822700285,No View,No,1912,98105,1.5,4,1.5,7,47.6597,-122.29,657500,1910,5000
Average,20140505T000000,4083300510,No View,No,1924,98103,1,4,1,7,47.6596,-122.338,657100,1390,4240
Average,20150204T000000,7230200585,No View,No,2014,98059,3.5,3,1.5,9,47.4739,-122.11,657044,3420,23786
Average,20140908T000000,1041500020,No View,No,1982,98074,2.75,4,1,9,47.6198,-122.038,657000,3060,35380
Good,20140710T000000,6388930620,No View,No,1995,98056,2.5,4,2,8,47.5277,-122.174,657000,2640,25038
Good,20140826T000000,4038700380,No View,No,1960,98008,2.5,5,1,7,47.616,-122.115,657000,2530,10190
Average,20140522T000000,8835400805,Average,No,1954,98118,1.75,4,1,8,47.5445,-122.263,657000,2740,8520
Good,20140625T000000,7519000471,No View,No,1926,98117,2.5,4,1.5,7,47.6846,-122.361,657000,2180,3375
Average,20150119T000000,2767601872,No View,No,2014,98107,3,2,3,8,47.6741,-122.384,657000,1570,1281
Good,20140612T000000,8824900050,No View,No,1919,98115,2,4,1,7,47.6756,-122.305,656500,2710,4750
Average,20140717T000000,3176600055,No View,No,1943,98115,1.75,3,1.5,8,47.6732,-122.272,656000,1480,7475
Good,20140820T000000,4240400140,No View,No,1929,98117,1.75,4,1.5,8,47.6846,-122.372,656000,1440,4300
Average,20150311T000000,6873000190,No View,No,2009,98052,2.5,2,3,7,47.6757,-122.121,656000,2270,1763
Average,20141020T000000,7923500090,No View,No,1957,98007,2.75,4,1,8,47.5929,-122.133,655500,2380,15800
Average,20140506T000000,226039075,No View,No,2000,98177,3.5,4,2,8,47.7741,-122.379,655500,3380,8330
Average,20140610T000000,5603700095,No View,No,1962,98006,1.75,3,1,7,47.5735,-122.162,655275,2050,11856
Average,20150505T000000,1797500530,No View,No,1922,98115,1,1,1,7,47.6746,-122.315,655100,1220,4160
Average,20140814T000000,2826079145,No View,No,1995,98019,2.5,5,2,8,47.7125,-121.915,655000,2560,46786
Good,20150409T000000,1726069060,No View,No,1981,98077,2.75,4,2,9,47.7454,-122.061,655000,2890,46609
Good,20141001T000000,7214711260,No View,No,1977,98077,2.5,4,1,8,47.7654,-122.076,655000,3340,34238
Average,20140909T000000,3622069114,No View,No,2004,98010,3.5,4,2,9,47.3554,-121.986,655000,3420,33106
Average,20141002T000000,1656600280,No View,No,1997,98059,2.5,4,2,9,47.4898,-122.127,655000,3110,24466
Average,20150413T000000,8096000060,Excellent,Yes,1915,98166,1.75,2,2,7,47.4497,-122.375,655000,1450,15798
Average,20140521T000000,3764500090,Good,No,1994,98033,3.5,4,2,8,47.6947,-122.19,655000,2350,13402
Average,20140522T000000,5611500100,No View,No,1999,98075,2.5,4,2,10,47.5832,-122.026,655000,2860,12394
Very Good,20140516T000000,8562970040,No View,No,1977,98155,3.25,5,2,9,47.7672,-122.292,655000,3690,12353
Average,20150318T000000,7853240310,Average,No,2005,98065,2.5,4,2,9,47.5428,-121.861,655000,3500,11306
Average,20140905T000000,1592000050,No View,No,1984,98074,2.5,4,1,9,47.6222,-122.034,655000,2370,9517
Good,20140924T000000,7856700990,No View,No,1971,98006,2.25,4,1,8,47.5653,-122.146,655000,2200,9163
Average,20140530T000000,1687910100,No View,No,1983,98006,2.25,4,1,8,47.5605,-122.124,655000,2060,8470
Average,20140806T000000,130000175,No View,No,1962,98115,2.75,4,1,8,47.7004,-122.287,655000,3160,8197
Good,20150213T000000,2193320450,No View,No,1984,98052,3,4,1,8,47.6956,-122.099,655000,2570,8022
Average,20150423T000000,6388920410,No View,No,1990,98056,2.5,3,2,9,47.528,-122.171,655000,2370,7916
Good,20150306T000000,8563050350,No View,No,1972,98052,2.25,4,1,8,47.6287,-122.093,655000,2420,7725
Average,20140806T000000,5135000170,Good,No,1948,98116,1.75,4,1,8,47.5709,-122.406,655000,2540,7620
Average,20150422T000000,3886901795,No View,No,1994,98033,5,6,2,7,47.6813,-122.187,655000,2850,6600
Average,20140528T000000,1854900240,No View,No,2003,98074,2.5,4,2,8,47.6119,-122.011,655000,2990,5669
Good,20140821T000000,582000185,No View,No,1952,98199,1.75,3,1,7,47.6535,-122.397,655000,1960,5520
Good,20150429T000000,9164100035,No View,No,1908,98117,1,1,1,7,47.6821,-122.388,655000,1660,5422
Average,20141001T000000,3528900160,No View,No,1939,98109,1,3,1,7,47.6421,-122.348,655000,1370,5250
Average,20150219T000000,871001365,No View,No,1952,98199,1.75,3,1,7,47.6514,-122.407,655000,1800,5102
Good,20140716T000000,5249804510,No View,No,1927,98118,2,3,1.5,8,47.5597,-122.267,655000,1410,4800
Average,20150327T000000,4221270340,No View,No,2004,98075,2.5,3,2,8,47.591,-122.017,655000,2320,4721
Very Good,20141031T000000,8827900560,No View,No,1923,98105,2,3,1,7,47.6717,-122.295,655000,1820,4480
Average,20141008T000000,293910030,No View,No,2001,98034,2.5,4,2,9,47.7076,-122.232,655000,2570,4412
Average,20140710T000000,9839300775,No View,No,1980,98122,2.25,4,2,7,47.6124,-122.293,655000,2170,4080
Average,20140930T000000,3300701615,No View,No,2002,98117,2.5,4,3,8,47.6915,-122.381,655000,2630,4000
Average,20141107T000000,7011201245,No View,No,1906,98119,1,3,1.5,7,47.6368,-122.37,655000,1270,3600
Average,20150319T000000,976000903,No View,No,2014,98119,2.25,2,2,9,47.6461,-122.362,655000,1460,1851
Average,20140603T000000,3530200160,No View,No,1987,98077,2.5,4,2,9,47.7674,-122.086,654950,2790,45902
Average,20150318T000000,1279300085,No View,No,1947,98115,1,4,1.5,8,47.6761,-122.297,654500,1780,5000
Average,20150409T000000,6646200710,No View,No,2000,98074,2.5,3,2,9,47.625,-122.042,654300,2490,8582
Average,20150501T000000,3424089119,No View,No,1997,98045,2.5,3,2,7,47.5192,-121.764,654000,3240,60840
Good,20140828T000000,8563001130,No View,No,1965,98008,2.5,5,1,8,47.6233,-122.102,654000,2960,8968
Average,20140724T000000,5101404144,No View,No,1962,98115,2.5,4,1,8,47.6965,-122.308,654000,2240,7540
Good,20141211T000000,8127700440,No View,No,1961,98199,2.5,3,1,7,47.6417,-122.397,654000,2570,5500
Average,20141006T000000,8562790480,No View,No,2012,98027,2.5,3,2,10,47.5311,-122.074,654000,2220,2873
Average,20140620T000000,8080400136,No View,No,2005,98122,3.25,3,2,8,47.6179,-122.312,654000,1530,1565
Average,20140723T000000,293910070,No View,No,2003,98034,2.5,4,2,9,47.7072,-122.232,653750,2460,4166
Good,20150327T000000,7524950730,No View,No,1984,98027,2.25,4,2,8,47.5609,-122.081,653675,2280,7229
Average,20141112T000000,2902200016,No View,No,2014,98102,2.5,2,2,8,47.6372,-122.324,653500,1680,1240
Good,20140725T000000,224069010,No View,No,1980,98075,2.5,3,1,8,47.5936,-122.013,653450,2070,49658
Average,20150326T000000,9238430660,No View,No,1985,98072,2.25,3,2,8,47.775,-122.124,653000,2770,57745
Good,20150428T000000,3447000090,No View,No,1971,98006,2.25,3,1,8,47.5716,-122.128,653000,2800,17300
Good,20140605T000000,3261020370,No View,No,1979,98034,2.5,3,1,8,47.7028,-122.231,653000,2680,9750
Good,20141029T000000,4127000095,No View,No,1950,98038,2,3,1,9,47.372,-122.036,653000,2680,8429
Good,20141201T000000,8079100640,No View,No,1989,98029,2.5,4,2,9,47.5659,-122.013,653000,2160,7000
Good,20150505T000000,441000065,No View,No,1947,98115,1.5,2,1,7,47.6878,-122.29,653000,1290,5141
Average,20150106T000000,7202280580,No View,No,2003,98053,2.5,4,2,7,47.6842,-122.04,653000,3120,5137
Average,20140917T000000,9830200380,Average,No,1993,98118,3,3,3,10,47.5409,-122.267,653000,3040,5067
Average,20140602T000000,3630120480,No View,No,2006,98029,2.5,3,2,9,47.5551,-122.001,653000,2290,3475
Average,20150106T000000,1015000050,No View,No,2014,98117,2.5,4,2,8,47.6956,-122.36,652600,2220,5900
Average,20140820T000000,1023079147,No View,No,1989,98027,2.25,4,2,8,47.4989,-121.9,652500,2220,130244
Average,20140627T000000,1939000030,No View,No,1987,98053,2.5,4,2,9,47.6694,-122.044,652500,2540,38677
Average,20150506T000000,9310300215,No View,No,1978,98133,1.75,4,2,7,47.7402,-122.348,652500,3130,18253
Average,20140615T000000,3905010100,No View,No,1990,98029,2.5,4,2,9,47.5771,-121.994,652500,2700,9122
Very Good,20141203T000000,6072760670,No View,No,1974,98006,2.25,3,1,8,47.563,-122.178,652450,2230,11835
Good,20150105T000000,7504400750,No View,No,1979,98074,2.25,4,2,8,47.6268,-122.05,652427,2770,13129
Average,20150414T000000,1703050520,No View,No,2003,98074,2.5,3,2,9,47.6297,-122.021,652100,2380,5017
Good,20141003T000000,1313000710,No View,No,1968,98052,2.25,3,1,8,47.6341,-122.103,652000,1920,9600
Average,20150129T000000,871001085,No View,No,1948,98199,1,3,1,8,47.6517,-122.406,652000,1470,6122
Very Good,20141002T000000,2769602880,No View,No,1925,98107,2,3,1.5,7,47.6746,-122.362,652000,2130,5000
Good,20150325T000000,2856102336,No View,No,1941,98117,2,3,1,7,47.6785,-122.393,652000,1700,4080
Very Good,20141216T000000,6430500238,No View,No,1929,98103,1.5,4,2,7,47.6893,-122.35,651500,1500,3075
Average,20150330T000000,1703050420,No View,No,2003,98074,2.5,4,2,9,47.6299,-122.02,651100,2310,5526
Good,20140507T000000,721069087,No View,No,1991,98042,2.5,3,2,10,47.327,-122.094,651000,3240,108366
Average,20140513T000000,8078460550,No View,No,1993,98074,2.5,4,2,8,47.6334,-122.021,651000,2740,7140
Very Good,20140904T000000,194000505,Average,No,1940,98116,2,3,1,7,47.5664,-122.389,651000,1940,6440
Very Good,20141219T000000,9550204450,No View,No,1919,98105,1.5,3,1.5,7,47.6662,-122.326,651000,1890,4400
Average,20140728T000000,7234601541,No View,No,2002,98122,3,3,2,8,47.6111,-122.308,651000,2260,1834
Average,20140529T000000,7853380480,No View,No,2008,98065,2.5,3,2,9,47.5151,-121.883,650880,2930,6050
Average,20150122T000000,2205700470,No View,No,1955,98006,4.25,5,2,7,47.5766,-122.151,650500,3920,11412
Average,20140806T000000,381000240,No View,No,1953,98115,1.75,4,1,8,47.6789,-122.281,650500,2340,5940
Average,20150406T000000,9839301060,No View,No,1903,98122,1.75,3,1.5,8,47.6115,-122.292,650500,1740,4400
Good,20150410T000000,224069105,No View,No,1973,98075,1,2,1,7,47.5946,-122.006,650100,1750,60872
Good,20150302T000000,2324079057,Average,No,1976,98024,2,3,1,8,47.553,-121.887,650000,2660,257875
Average,20140715T000000,3022079080,No View,No,2002,98010,2.5,4,2,9,47.3608,-121.97,650000,3420,222156
Good,20150413T000000,4045900020,No View,No,1956,98072,1.5,2,1,8,47.7608,-122.118,650000,1440,136778
Average,20140714T000000,3023039231,No View,No,1996,98070,1,1,1.5,6,47.448,-122.472,650000,920,91476
Average,20150330T000000,725069102,No View,No,1976,98053,2.25,3,2,8,47.6723,-122.082,650000,2180,60112
Average,20140708T000000,1525079069,No View,No,2003,98014,3,4,1,9,47.6469,-121.897,650000,3720,57499
Average,20150401T000000,224069145,No View,No,1980,98075,1.75,3,1,8,47.5936,-122.012,650000,1970,54450
Average,20140806T000000,2423069039,No View,No,2013,98027,2.5,3,1,9,47.4694,-121.989,650000,2500,51836
Average,20140701T000000,1531000140,No View,No,2004,98010,2.5,4,2,10,47.3432,-122.025,650000,3350,46748
Average,20150320T000000,4054710090,No View,No,1998,98077,2.5,3,2,9,47.722,-122.026,650000,2180,37042
Good,20140506T000000,7300200290,No View,No,1983,98075,3.5,5,2,8,47.5741,-122.05,650000,3480,36615
Average,20150325T000000,6979900330,No View,No,1996,98053,2.5,4,2,8,47.6314,-121.968,650000,2630,28298
Average,20141120T000000,6388930390,No View,No,1996,98056,3.5,5,2,9,47.525,-122.172,650000,3960,25245
Good,20141210T000000,1516000055,Good,No,1959,98166,2.25,3,1,8,47.4336,-122.339,650000,2150,21235
Good,20141024T000000,1842390130,No View,No,1984,98052,2.5,4,2,8,47.7014,-122.122,650000,2620,19864
Average,20150116T000000,3222049055,Excellent,Yes,1965,98198,1.75,3,1,8,47.3554,-122.324,650000,2800,19386
Good,20140625T000000,3526039074,No View,No,1940,98117,2.75,4,1,7,47.6952,-122.39,650000,1910,16532
Good,20140724T000000,7811100230,No View,No,1967,98005,2.75,4,1,9,47.5921,-122.155,650000,2020,15810
Average,20140819T000000,6646200090,No View,No,1990,98074,3.5,4,2,9,47.6256,-122.042,650000,3270,15704
Good,20140902T000000,4038600300,Average,No,1961,98008,3,4,1,7,47.612,-122.119,650000,2900,15535
Good,20140925T000000,7732500270,No View,No,1985,98052,2.5,4,2,9,47.7255,-122.101,650000,2820,15000
Very Good,20150327T000000,4037000925,No View,No,1957,98008,2.25,5,1,7,47.6007,-122.117,650000,2400,13450
Average,20140721T000000,4178600100,No View,No,1992,98011,2.5,3,2,9,47.744,-122.194,650000,2430,12997
Average,20140725T000000,8126300410,No View,No,1979,98052,1.75,4,1,8,47.7061,-122.163,650000,2390,12000
Average,20140912T000000,8832900550,Good,No,1957,98028,2.5,3,1,8,47.7605,-122.267,650000,2690,11575
Good,20141029T000000,868001295,No View,No,1942,98177,1.75,3,1,7,47.7045,-122.379,650000,1660,10819
Average,20141208T000000,2926049382,No View,No,1954,98125,2,3,1,7,47.7055,-122.315,650000,2800,10501
Good,20150220T000000,524059208,No View,No,1954,98004,1.75,4,1,7,47.5933,-122.195,650000,1900,10454
Average,20141218T000000,5315100805,No View,No,1957,98040,1.75,3,1,7,47.5833,-122.241,650000,1940,10245
Good,20150413T000000,644000102,No View,No,1951,98004,1,3,1,6,47.5872,-122.196,650000,1520,10227
Average,20140923T000000,6696800030,No View,No,1985,98008,2.5,4,2,8,47.6353,-122.124,650000,2290,10186
Average,20141224T000000,1088810160,No View,No,1990,98011,3.5,5,2,9,47.741,-122.208,650000,3990,10120
Average,20140924T000000,2126059234,No View,No,2003,98034,3.5,5,2,10,47.7261,-122.17,650000,5110,10018
Good,20141202T000000,686500030,No View,No,1966,98008,2.75,6,1.5,8,47.6261,-122.125,650000,3610,10003
Good,20150429T000000,1153000040,No View,No,1968,98005,2.5,4,1,8,47.6147,-122.166,650000,2240,9934
Good,20150422T000000,9201000120,Average,No,1969,98075,2.25,3,1,7,47.5822,-122.077,650000,1790,9927
Good,20140610T000000,9573120260,No View,No,1973,98034,2.25,4,2,7,47.7261,-122.246,650000,2560,9731
Average,20140615T000000,1266200130,No View,No,1953,98004,1.75,3,1,7,47.6234,-122.191,650000,2140,9484
Good,20141013T000000,5418200340,No View,No,1959,98125,2.5,4,1,8,47.703,-122.28,650000,2580,9450
Good,20140618T000000,2592200030,No View,No,1981,98006,1.75,3,1,8,47.5491,-122.151,650000,2920,9370
Average,20140606T000000,2405500050,No View,No,1990,98074,2.5,4,2,10,47.6274,-122.04,650000,2840,9354
Good,20150312T000000,7923300285,No View,No,1957,98007,2.25,4,1,7,47.5933,-122.135,650000,2440,9320
Average,20141007T000000,9265200060,No View,No,1979,98052,4.5,6,2,8,47.6612,-122.137,650000,3900,9100
Good,20140505T000000,3619600143,Average,No,1949,98177,1.5,3,1,8,47.7241,-122.369,650000,2160,9000
Good,20141202T000000,3210700170,No View,No,1966,98004,2,4,1,8,47.6011,-122.192,650000,1610,8976
Average,20150420T000000,8029770410,No View,No,2006,98059,2.5,4,2,9,47.5075,-122.148,650000,3160,8530
Average,20150219T000000,1377300020,No View,No,1940,98199,1.5,3,1,7,47.6438,-122.403,650000,2120,8448
Good,20140828T000000,249000115,No View,No,1953,98004,1,3,1,7,47.6337,-122.199,650000,1300,8266
Good,20141009T000000,7923100410,No View,No,1966,98008,1.75,4,1,7,47.5819,-122.125,650000,2640,8215
Average,20140618T000000,2450000165,No View,No,1951,98004,1.5,3,1,8,47.5827,-122.195,650000,1320,8114
Good,20140714T000000,7308900490,No View,No,1937,98177,2.5,3,1,8,47.7176,-122.36,650000,2540,8073
Good,20150428T000000,1562000050,No View,No,1964,98007,2.75,5,1,8,47.6208,-122.139,650000,2580,7865
Average,20140820T000000,7853240660,Average,No,2004,98065,2.5,3,2,9,47.5401,-121.861,650000,3060,7831
Average,20140506T000000,3176100110,Fair,No,1940,98115,1.5,3,1,7,47.6725,-122.272,650000,1630,7475
Average,20140623T000000,8078360080,No View,No,1990,98029,2.5,4,2,9,47.5707,-122.022,650000,2400,7351
